product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
40011028,6.5,50.0,130.0,4.0,4.0,5.0,4.0,True,,Thanh Trì,Tin thường,False
40025370,18.5,65.0,284.62,,,4.0,5.0,True,,Cầu Giấy,Tin thường,False
40025455,22.5,60.0,375.0,,,6.0,,,,Cầu Giấy,Tin thường,False
40025517,22.0,50.0,440.0,,,5.0,,True,Nội thất cao cấp.,Đống Đa,Tin thường,False
40025563,24.5,70.0,350.0,,,,6.0,True,,Tây Hồ,Tin thường,False
40025669,23.5,55.0,427.27,,,5.0,4.5,,,Cầu Giấy,Tin thường,False
40039357,22.5,55.0,409.09,,,5.0,,True,,Cầu Giấy,Tin thường,False
40049554,22.5,55.0,409.09,,,7.0,5.0,,,Cầu Giấy,Tin thường,False
40049698,19.5,50.0,390.0,,,5.0,,True,,Ba Đình,Tin thường,False
40050005,19.5,50.0,390.0,,,5.0,5.0,True,,Tây Hồ,Tin thường,False
40050344,23.5,60.0,391.67,5.0,,5.0,,True,,Đống Đa,Tin thường,False
40072306,15.4,80.0,192.5,21.0,22.0,8.0,,True,,Thanh Trì,Tin thường,False
40080815,25.0,65.0,384.62,6.0,,6.0,,True,,Đống Đa,Tin thường,False
40086923,25.0,52.0,480.77,,,5.0,,True,,Tây Hồ,Tin thường,False
40086984,24.5,70.0,350.0,,,4.0,8.0,True,,Tây Hồ,Tin thường,False
40207201,11.85,55.0,215.46,4.0,5.0,6.0,,True,Đầy đủ,Đống Đa,Tin thường,False
40231996,22.0,50.0,440.0,,,5.0,,True,,Đống Đa,Tin thường,False
40242608,9.15,46.0,198.91,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
40267315,11.5,49.0,234.69,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin VIP Bạc,False
40306046,11.25,56.0,200.89,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
40311794,6.5,45.0,144.44,4.0,,5.0,4.2,True,,Thanh Trì,Tin thường,False
40320018,21.0,50.0,420.0,6.0,7.0,7.0,4.5,True,Đầy đủ,Đống Đa,Tin thường,False
40328288,14.0,40.0,350.0,,,3.0,,True,,Đống Đa,Tin thường,False
40337290,10.52,51.0,206.28,4.0,4.0,5.0,4.5,True,Đầy đủ,Đống Đa,Tin thường,False
40349147,16.8,61.0,275.41,5.0,4.0,4.0,5.0,True,,Ba Đình,Tin thường,False
40357097,18.3,50.0,366.0,4.0,4.0,5.0,,True,,Thanh Xuân,Tin thường,False
40390459,3.8,34.2,111.11,4.0,4.0,4.0,3.0,True,,Hà Đông,Tin thường,False
40392242,35.5,65.0,546.15,,,6.0,5.0,True,,Cầu Giấy,Tin thường,False
40401088,4.6,40.0,115.0,4.0,4.0,4.0,4.0,True,Đầy đủ,Thanh Oai,Tin thường,False
40426644,5.45,47.0,115.96,4.0,3.0,4.0,,True,,Thanh Trì,Tin thường,False
40442388,12.25,58.0,211.21,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
40447783,19.8,50.0,396.0,4.0,3.0,4.0,4.0,True,,Ba Đình,Tin thường,False
40470719,7.6,60.0,126.67,4.0,4.0,5.0,,True,,Thanh Trì,Tin thường,False
40479761,8.0,51.0,156.86,2.0,1.0,2.0,4.15,True,Không nội thất,Đống Đa,Tin thường,False
40504501,24.0,60.0,400.0,,,6.0,,True,,Cầu Giấy,Tin thường,False
40526154,7.1,60.0,118.33,6.0,6.0,6.0,4.0,True,Đầy đủ nội thất.,Thanh Trì,Tin thường,False
40540204,5.85,42.0,139.29,5.0,3.0,4.0,3.8,True,,Thanh Trì,Tin thường,False
40549590,15.9,60.0,265.0,4.0,2.0,2.0,5.0,True,,Hoàng Mai,Tin thường,False
40557695,27.0,60.0,450.0,,,5.0,5.0,True,,Cầu Giấy,Tin thường,False
40563062,21.0,55.0,381.82,6.0,5.0,5.0,,True,Cơ bản,Cầu Giấy,Tin thường,False
40617302,22.0,55.0,400.0,,,5.0,,True,,Đống Đa,Tin thường,False
40620416,19.0,50.0,380.0,5.0,5.0,5.0,4.5,True,Đầy đủ,Đống Đa,Tin thường,False
40622703,12.5,75.0,166.67,,,6.0,,True,,Hai Bà Trưng,Tin thường,False
40723915,24.0,60.0,400.0,6.0,,6.0,,True,,Cầu Giấy,Tin thường,False
40773872,5.2,45.0,115.56,4.0,3.0,4.0,5.0,True,Cơ bản,Thanh Trì,Tin thường,False
40792688,5.2,45.0,115.56,4.0,4.0,5.0,,True,,Thanh Trì,Tin thường,False
40801087,24.9,100.0,249.0,23.0,23.0,7.0,6.0,True,Đầy đủ,Hai Bà Trưng,Tin thường,False
40802322,4.5,40.0,112.5,4.0,4.0,4.0,4.0,True,Cơ bản,Thanh Trì,Tin thường,False
40804973,19.5,50.0,390.0,6.0,5.0,6.0,6.0,True,Đầy đủ,Đống Đa,Tin thường,False
40858286,29.0,120.0,241.67,6.0,8.0,6.0,6.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
40879637,6.0,37.0,162.16,4.0,4.0,4.0,3.5,True,Đầy đủ,Hoài Đức,Tin thường,False
40905026,14.0,42.0,333.33,6.0,4.0,5.0,3.5,True,Cơ bản,Đống Đa,Tin thường,False
40951756,10.25,48.0,213.54,4.0,4.0,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
40999073,27.0,90.0,300.0,,,6.0,,True,,Long Biên,Tin thường,False
41020085,5.75,50.0,115.0,4.0,4.0,5.0,,True,Cơ bản,Thanh Trì,Tin thường,False
41021210,14.3,67.5,211.85,5.0,4.0,4.0,4.5,True,Đầy đủ,Hoài Đức,Tin thường,False
41050903,10.0,45.0,222.22,,,2.0,5.0,,,Long Biên,Tin thường,False
41052116,21.1,79.0,267.09,,,7.0,,True,,Long Biên,Tin thường,False
41067603,5.6,76.8,72.92,9.0,4.0,8.0,6.0,True,,Thanh Trì,Tin thường,False
41084439,28.0,53.0,528.3,5.0,5.0,5.0,4.5,True,Đầy đủ,Cầu Giấy,Tin thường,False
41111770,12.8,60.0,213.33,4.0,3.0,4.0,5.0,True,,Hà Đông,Tin thường,False
41117882,42.9,130.0,330.0,,,9.0,,True,Cơ bản,Thanh Trì,Tin thường,False
41119836,12.6,60.0,210.0,18.0,18.0,7.0,6.0,True,Đầy đủ,Nam Từ Liêm,Tin thường,False
41127586,6.45,38.0,169.74,3.0,4.0,5.0,4.0,True,Cơ bản,Hoài Đức,Tin thường,False
41151706,18.6,50.0,372.0,4.0,3.0,5.0,,,Đầy đủ,Thanh Xuân,Tin thường,False
41195503,28.0,70.0,400.0,6.0,,5.0,,True,,Cầu Giấy,Tin thường,False
